method,ArraySize,1Core,2Cores,4Cores,SpeedUp1,SpeedUp2
ENUM,1000,0.005216,0.004002,0.002159,1.3033,2.2686
QUICK,1000,0.000255,0.000184,0.000172,1.385,1.6195
MERGE,1000,0.000156,0.000118,0.000211,1.1372,0.8257
ENUM,10000,0.5281,0.3536,0.1924,1.4933,2.7345
QUICK,10000,0.01405,0.01786,0.0023,0.7864,6.207
MERGE,10000,0.0031,0.0016,0.0011,1.8788,2.8182
ENUM,100000,53.5788,35.9891,18.6969,1.488,2.778
QUICK,100000,1.27707,0.6342,0.6794,2.0134,1.9691
MERGE,100000,0.0213,0.0125,0.00968,1.705,2.424
QUICK,500000,31.8047,31.9071,5.454,0.9967,5.9239
MERGE,500000,0.1217,0.0618,0.0545,1.9686,2.2357
