Algorithm,ArraySize,1Core,2Cores,4Cores,SpeedUp1,SpeedUp2,,,,,,,,,,
ENUM,1000,0.005216,0.004002,0.002159,1.3033,2.2686,,,,,,,,,,
QUICK,1000,0.000255,0.000184,0.000172,1.385,1.6195,,,,,,,,,,
MERGE,1000,0.000156,0.000118,0.000211,1.1372,0.8257,,,,,,,,,,
ENUM,10000,0.5281,0.3536,0.1924,1.4933,2.7345,,,,,,,,,,
QUICK,10000,0.01405,0.01786,0.0023,0.7864,6.207,,,,,,,,,,
MERGE,10000,0.0031,0.0016,0.0011,1.8788,2.8182,,,,,,,,,,
ENUM,100000,53.5788,35.9891,18.6969,1.488,2.778,,,,,,,,,,
QUICK,100000,1.27707,0.6342,0.6794,2.0134,1.9691,,,,,,,,,,
MERGE,100000,0.0213,0.0125,0.00968,1.705,2.424,,,,,,,,,,
QUICK,500000,31.8047,31.9071,5.454,0.9967,5.9239,,,,,,,,,,
MERGE,500000,0.1217,0.0618,0.0545,1.9686,2.2357,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Algorithm,ArraySize,TimeUsed,CoreUsed,SpeedUp,,Algorithm,ArraySize,TimeUsed,CoreUsed,SpeedUp,,Algorithm,ArraySize,TimeUsed,CoreUsed,SpeedUp
ENUM,1000,0.005216,1,1,,QUICK,1000,0.000255,1,1,,MERGE,1000,0.000156,1,1
ENUM,1000,0.004002,2,1.3033,,QUICK,1000,0.000184,2,1.385,,MERGE,1000,0.000118,2,1.1372
ENUM,1000,0.002159,4,2.2686,,QUICK,1000,0.000172,4,1.6195,,MERGE,1000,0.000211,4,0.8257
ENUM,10000,0.5281,1,1,,QUICK,10000,0.01405,1,1,,MERGE,10000,0.0031,1,1
ENUM,10000,0.3536,2,1.4933,,QUICK,10000,0.01786,2,0.7864,,MERGE,10000,0.0016,2,1.8788
ENUM,10000,0.1924,4,2.7345,,QUICK,10000,0.0023,4,6.207,,MERGE,10000,0.0011,4,2.8182
ENUM,100000,53.5788,1,1,,QUICK,100000,1.27707,1,1,,MERGE,100000,0.0213,1,1
ENUM,100000,35.9891,2,1.488,,QUICK,100000,0.6342,2,2.0134,,MERGE,100000,0.0125,2,1.705
ENUM,100000,18.6969,4,2.778,,QUICK,100000,0.6794,4,1.9691,,MERGE,100000,0.00968,4,2.424
,,,,,,QUICK,500000,31.8047,1,1,,MERGE,500000,0.1217,1,1
,,,,,,QUICK,500000,31.9071,2,0.9967,,MERGE,500000,0.0618,2,1.9686
,,,,,,QUICK,500000,5.454,4,5.9239,,MERGE,500000,0.0545,4,2.2357
