Algorithm,ArraySize,TimeUsed,CoreUsed,SpeedUp
ENUM,1000,0.005216,ONE,1
ENUM,1000,0.004002,TWO,1.3033
ENUM,1000,0.002159,FOUR,2.2686
ENUM,10000,0.5281,ONE,1
ENUM,10000,0.3536,TWO,1.4933
ENUM,10000,0.1924,FOUR,2.7345
ENUM,100000,53.5788,ONE,1
ENUM,100000,35.9891,TWO,1.488
ENUM,100000,18.6969,FOUR,2.778
QUICK,1000,0.000255,ONE,1
QUICK,1000,0.000184,TWO,1.385
QUICK,1000,0.000172,FOUR,1.6195
QUICK,10000,0.01405,ONE,1
QUICK,10000,0.01786,TWO,0.7864
QUICK,10000,0.0023,FOUR,6.207
QUICK,100000,1.27707,ONE,1
QUICK,100000,0.6342,TWO,2.0134
QUICK,100000,0.6794,FOUR,1.9691
QUICK,500000,31.8047,ONE,1
QUICK,500000,31.9071,TWO,0.9967
QUICK,500000,5.454,FOUR,5.9239
MERGE,1000,0.000156,ONE,1
MERGE,1000,0.000118,TWO,1.1372
MERGE,1000,0.000211,FOUR,0.8257
MERGE,10000,0.0031,ONE,1
MERGE,10000,0.0016,TWO,1.8788
MERGE,10000,0.0011,FOUR,2.8182
MERGE,100000,0.0213,ONE,1
MERGE,100000,0.0125,TWO,1.705
MERGE,100000,0.00968,FOUR,2.424
MERGE,500000,0.1217,ONE,1
MERGE,500000,0.0618,TWO,1.9686
MERGE,500000,0.0545,FOUR,2.2357
